name,class,platform,B/S,price,closed,profit,trade_date,record_date,remark,year
ps游戏,PS,others,B,-66.69,,,2021-07-24,2023-07-09,生化奇兵,2021
ps碟,PS,others,S,279.0,,,2021-08-08,2023-07-09,尼尔+巫师3,2021
罗技g903,PC,TB,B,-539.0,,,2021-08-15,2023-07-09,,2021
魅族gravity,music,XY,S,500.0,,,2021-08-16,2023-07-09,,2021
铜彩rca,music,XY,S,100.0,,,2021-08-18,2023-07-09,,2021
hd800s,music,XY,S,6100.0,,,2021-08-19,2023-07-09,,2021
se846bt2,music,XY,S,2700.0,,,2021-08-21,2023-07-09,,2021
银乌,music,XY,S,4666.0,,,2021-08-25,2023-07-09,,2021
小米加湿器,others,XY,S,90.0,,,2021-08-28,2023-07-09,,2021
大耳收纳盒,music,TB,B,-86.0,,,2021-08-28,2023-07-09,,2021
sony_a15,music,XY,S,200.0,,,2021-08-31,2023-07-09,,2021
劲浪耳机支架,music,XY,S,299.0,,,2021-08-31,2023-07-09,,2021
大乌耳罩,music,XY,S,700.0,,,2021-09-01,2023-07-09,,2021
ps游戏,PS,others,B,-64.96,,,2021-09-02,2023-07-09,巫师3,2021
rndac,music,XY,B,-28000.0,N,-28000.0,2021-09-13,2023-07-09,,2021
ps碟,PS,TB,B,-830.0,,,2021-09-24,2023-07-09,对马岛+瑞奇与叮当2,2021
2.5转4.4转接头,music,XY,S,50.0,,,2021-09-24,2023-07-09,,2021
铜彩usb线,music,XY,S,79.0,,,2021-10-05,2023-07-09,,2021
rnhp,music,XY,S,3000.0,,,2021-10-09,2023-07-09,,2021
rnhp线性电源,music,XY,S,200.0,,,2021-10-09,2023-07-09,,2021
ps碟,PS,others,S,825.0,,,2021-10-10,2023-07-09,对马岛+瑞奇与叮当2,2021
sony_xba_a3,music,XY,S,499.0,,,2021-10-10,2023-07-09,,2021
hd800s,music,TB,B,-7150.0,Y,-1450.0,2021-10-22,2023-07-09,,2021
mdr_z1r,music,XY,S,6998.0,,,2021-10-23,2023-07-09,,2021
